City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Flin Flon,54.7682,-101.865,-12.49,83,100,3.7,CA,1644783229
Sirumugai,11.3333,77.0167,23.76,73,97,1.03,IN,1644783229
Sabang,5.8933,95.3214,27.56,74,49,3.91,ID,1644783229
Itoman,26.1247,127.6694,18.01,94,100,10.8,JP,1644783230
Makakilo City,21.3469,-158.0858,25.18,64,20,5.66,US,1644783230
Korla,41.7597,86.1469,-1.51,46,0,2.03,CN,1644783230
Seminole,28.7086,-81.2081,24.05,80,100,5.14,US,1644783231
Balkanabat,39.5108,54.3671,5.62,62,28,5.93,TM,1644783231
Teguise,29.0605,-13.564,17.12,72,20,4.63,ES,1644783231
Buala,-8.145,159.5921,26.11,83,99,2.82,SB,1644783231
Alyangula,-13.8483,136.4192,27.42,67,36,3.8,AU,1644783232
Kruisfontein,-34.0033,24.7314,18.46,91,16,3.35,ZA,1644783114
Danville,36.586,-79.395,4.76,93,100,4.63,US,1644783001
Manggar,-2.8833,108.2667,25.13,86,90,0.96,ID,1644783232
Fartura,-23.3883,-49.51,27.63,52,17,1.05,BR,1644783232
Inhambane,-23.865,35.3833,24.81,86,2,3.87,MZ,1644783210
Leh,34.1667,77.5833,-16.07,84,84,0.37,IN,1644783233
Lamu,-2.2717,40.902,26.12,86,66,5.73,KE,1644783233
Hattiesburg,31.3271,-89.2903,12.9,24,0,5.66,US,1644783184
Lompoc,34.6391,-120.4579,30.38,30,0,3.09,US,1644783187
Rockport,28.0206,-97.0544,18.14,30,0,2.57,US,1644783185
Celestún,20.8667,-90.4,23.35,72,85,9.34,MX,1644783233
Kamaishi,39.2667,141.8833,0.4,69,100,1.73,JP,1644782974
Bonthe,7.5264,-12.505,26.01,84,29,3.72,SL,1644783234
Āsosa,10.0667,34.5333,21.76,26,40,1.92,ET,1644783234
Geraldton,-28.7667,114.6,23.23,83,100,0.0,AU,1644783129
Malakal,9.5334,31.6605,29.03,16,0,3.47,SS,1644783234
Coyhaique,-45.5752,-72.0662,27.34,34,0,3.09,CL,1644783235
Batagay,67.6333,134.6333,-31.12,93,96,1.38,RU,1644783235
Krasnosel'kup,65.7,82.4667,-18.78,92,62,5.81,RU,1644783235
Pathein,16.7833,94.7333,17.3,82,30,2.77,MM,1644783236
Pangnirtung,66.1451,-65.7125,-36.32,97,95,1.74,CA,1644783236
Moscow,55.7522,37.6156,-1.25,86,100,4.39,RU,1644783062
Costa Rica,-23.4167,-54.65,33.3,33,58,1.37,BR,1644783136
Kashan,33.9831,51.4364,10.21,45,0,0.79,IR,1644783236
Opunake,-39.4556,173.8583,16.58,75,76,9.64,NZ,1644783237
Pimentel,-6.8367,-79.9342,27.16,57,0,7.2,PE,1644783237
Salinas,36.6777,-121.6555,27.33,31,0,4.12,US,1644783051
Lorengau,-2.0226,147.2712,26.85,79,100,0.69,PG,1644783237
Poso,-1.3959,120.7524,24.52,85,100,1.98,ID,1644783113
Menongue,-14.6585,17.691,17.77,93,97,1.29,AO,1644783238
Río Gallegos,-51.6226,-69.2181,15.03,20,20,22.12,AR,1644783298
Nabire,-3.3667,135.4833,24.19,92,100,1.59,ID,1644783298
Huamachuco,-7.8,-78.0667,14.1,71,80,2.09,PE,1644783299
Naze,28.3667,129.4833,14.54,90,100,7.94,JP,1644783299
Samarai,-10.6167,150.6667,26.75,75,32,2.62,PG,1644783299
Esil,51.9556,66.4042,-12.87,94,100,2.47,KZ,1644783299
Necochea,-38.5473,-58.7368,21.08,36,1,3.18,AR,1644783297
Iwanai,42.9744,140.5089,-1.35,85,97,4.28,JP,1644783300
Serpneve,46.3009,29.0196,0.19,81,97,3.19,UA,1644783300
French Harbor,16.35,-86.4333,28.0,80,40,4.12,HN,1644783301
Rāvar,31.2656,56.8055,8.03,43,0,3.02,IR,1644783301
Surovikino,48.6078,42.8486,-2.27,92,6,4.04,RU,1644783301
Anori,-3.7728,-61.6442,25.72,95,100,1.01,BR,1644783301
Weinan,34.5036,109.5089,2.83,71,77,2.04,CN,1644783302
Porbandar,21.6422,69.6093,20.08,62,0,4.65,IN,1644783273
Fairbanks,64.8378,-147.7164,-9.55,82,100,0.0,US,1644783302
Balad,34.0164,44.1453,13.79,36,0,4.57,IQ,1644783302
Ulaangom,49.9811,92.0667,-32.3,98,100,0.77,MN,1644783303
Sabha,27.0377,14.4283,13.92,24,0,3.94,LY,1644783303
Vilhena,-12.7406,-60.1458,23.12,88,75,2.57,BR,1644783303
Hawalli,29.2833,47.9972,18.65,42,0,2.68,KW,1644783304
Half Moon Bay,37.4636,-122.4286,25.73,53,0,0.0,US,1644783304
Adré,13.4667,22.2,22.79,11,100,6.65,TD,1644783305
Vardø,70.3705,31.1107,-3.01,59,75,11.32,NO,1644783161
Khudumelapye,-23.8833,24.75,23.34,30,30,3.34,BW,1644783305
Pedreiras,-4.5688,-44.6003,25.71,90,100,0.49,BR,1644783305
Vanderhoof,54.0166,-124.0198,2.56,86,100,1.58,CA,1644783306
Verkhnevilyuysk,63.4453,120.3167,-30.02,100,100,0.91,RU,1644783306
Labuhan,-6.8844,112.2051,24.39,91,100,1.81,ID,1644783306
Kulhudhuffushi,6.6221,73.07,26.56,80,100,4.57,MV,1644783307
Villa de San Francisco,14.1667,-86.9667,31.71,23,3,4.77,HN,1644783307
Gilgit,35.9221,74.3087,0.17,67,100,1.34,PK,1644783307
Campo Verde,-20.4167,-54.0667,33.56,36,94,3.18,BR,1644783179
Chicama,-7.8447,-79.1469,22.3,53,74,5.22,PE,1644783308
Guerrero Negro,27.9769,-114.0611,26.67,21,15,2.15,MX,1644783308
Bakchar,57.0186,82.0711,-10.22,95,100,3.22,RU,1644783308
Amarillo,35.222,-101.8313,15.58,19,0,5.14,US,1644783120
Tabas,33.5959,56.9244,10.07,41,0,3.96,IR,1644783309
Lagoa,39.05,-27.9833,13.57,61,92,2.42,PT,1644783309
Volodarskiy,46.4013,48.5409,-2.03,58,0,4.02,RU,1644783309
Cap Malheureux,-19.9842,57.6142,27.48,78,90,1.34,MU,1644783310
Charter Township of Clinton,42.587,-82.9199,-5.25,80,100,0.89,US,1644783310
Pangody,65.85,74.4859,-25.53,96,85,4.07,RU,1644783310
Presque Isle,46.6811,-68.0159,-12.52,49,0,4.12,US,1644783311
Richards Bay,-28.783,32.0377,24.32,91,44,2.01,ZA,1644783093
Ballina,-28.8667,153.5667,18.21,98,84,3.53,AU,1644783103
Cayenne,4.9333,-52.3333,28.02,83,75,7.2,GF,1644783311
Port-Cartier,50.0334,-66.8654,-14.58,66,62,2.76,CA,1644783311
Kalmunai,7.4167,81.8167,24.46,83,98,2.83,LK,1644783311
Aklavik,68.2191,-135.0107,-29.54,75,75,2.57,CA,1644783312
Texarkana,33.4251,-94.0477,13.28,26,0,5.81,US,1644783312
Tuy Hoa,13.0833,109.3,23.33,92,94,2.15,VN,1644783372
Los Llanos de Aridane,28.6585,-17.9182,16.18,66,20,3.13,ES,1644783373
Boca do Acre,-8.7522,-67.3978,25.94,80,100,2.34,BR,1644783373
Tay Ninh,11.3,106.1,25.26,76,57,2.38,VN,1644783373
Loikaw,19.6742,97.2094,12.65,32,18,1.61,MM,1644783374
Sri Aman,1.2376,111.4621,24.03,100,96,0.0,MY,1644783374
Forestville,38.8451,-76.875,1.34,78,75,6.17,US,1644783374
Boddam,57.4667,-1.7833,6.32,90,100,4.32,GB,1644783375
Moose Factory,51.2585,-80.6094,-16.0,43,0,2.57,CA,1644783375
Port Hedland,-20.3167,118.5667,29.03,74,4,4.63,AU,1644783375
Sedro-Woolley,48.5039,-122.2361,14.07,56,0,0.0,US,1644783245
Bathsheba,13.2167,-59.5167,29.34,61,75,7.72,BB,1644783237
Makkah al Mukarramah,21.4267,39.8261,24.26,38,0,1.1,SA,1644783302
Bani Walid,31.7566,13.9942,13.27,55,32,3.85,LY,1644783376
Orkney,-26.9802,26.6727,22.0,38,45,1.57,ZA,1644783144
Emerald,-23.5333,148.1667,19.63,77,0,4.91,AU,1644783315
Ambilobe,-13.2,49.05,22.95,94,82,0.95,MG,1644783376
Marsá Maţrūḩ,31.3525,27.2453,13.97,66,4,3.58,EG,1644783377
Villa María,-32.4075,-63.2402,26.57,45,0,2.0,AR,1644783377
Dudinka,69.4058,86.1778,-26.06,88,13,3.1,RU,1644783377
Harar,9.3094,42.1258,15.51,63,91,3.72,ET,1644783378
Garmsār,35.2182,52.3409,8.34,49,0,3.23,IR,1644783378
Yangjiang,21.85,111.9667,14.08,85,86,2.59,CN,1644783378
Ossora,59.2353,163.0719,-22.92,79,60,3.37,RU,1644783378
Hambantota,6.1241,81.1185,24.44,81,100,5.05,LK,1644783379
Havre-St-Pierre,50.2334,-63.5986,-15.0,60,0,4.63,CA,1644783379
North Platte,41.1239,-100.7654,13.88,28,0,6.69,US,1644783357
Ilulissat,69.2167,-51.1,-3.99,54,100,8.75,GL,1644783107
Morondava,-20.2833,44.2833,26.79,84,83,1.08,MG,1644783380
Port Macquarie,-31.4333,152.9167,17.72,79,99,0.91,AU,1644783275
Kajaani,64.2273,27.7285,0.03,93,100,4.63,FI,1644783380
Baruun-Urt,46.6806,113.2792,-27.48,99,72,1.04,MN,1644783380
Malaya Purga,56.5567,53.0043,-15.98,100,89,1.99,RU,1644783381
Esim,4.8699,-2.2405,26.33,86,7,3.56,GH,1644783378
Jurm,36.8648,70.8342,1.21,82,100,1.54,AF,1644783381
Kamen'-na-Obi,53.7884,81.3423,-4.96,92,98,7.44,RU,1644783381
Chapadinha,-3.7417,-43.3603,28.56,70,97,2.71,BR,1644783382
Antalaha,-14.9003,50.2788,24.09,91,27,2.11,MG,1644783382
Khanbari,27.3747,87.2039,10.47,68,25,1.51,NP,1644783383
Morro Bay,35.3658,-120.8499,29.58,59,0,2.24,US,1644783383
Carbonia,39.1672,8.5222,11.11,88,6,1.42,IT,1644783383
Āgaro,7.85,36.65,19.66,52,71,1.41,ET,1644783374
Mäntsälä,60.6609,25.2838,1.9,97,100,5.03,FI,1644783384
Tahe,52.3333,124.7333,-19.33,99,100,1.27,CN,1644783384
Miandrivazo,-19.5167,45.4667,25.47,85,85,0.47,MG,1644783384
Tamandaré,-8.7597,-35.1047,28.15,70,7,5.59,BR,1644783385
Ljubuški,43.1969,17.545,4.68,73,38,0.8,BA,1644783385
Pisco,-13.7,-76.2167,26.03,53,0,7.2,PE,1644783276
Mulchén,-37.7167,-72.2333,34.51,13,61,2.63,CL,1644783445
Great Yarmouth,52.6083,1.7305,9.14,89,100,13.49,GB,1644783296
Mossamedes,-15.1961,12.1522,24.18,80,100,1.45,AO,1644783446
Cuamba,-14.8031,36.5372,20.79,98,100,0.77,MZ,1644783446
Evensk,61.95,159.2333,-20.73,73,30,4.08,RU,1644783447
Illapel,-31.6308,-71.1653,25.83,48,0,4.36,CL,1644783369
Roald,62.5833,6.1333,4.39,100,75,1.54,NO,1644783447
Hanzhong,33.0728,107.0303,4.51,78,32,0.8,CN,1644783447
Deputatsky,69.3,139.9,-30.01,96,83,3.03,RU,1644783448
Gagarin,55.5529,34.9954,-4.9,83,96,5.9,RU,1644783448
Ahipara,-35.1667,173.1667,18.16,68,78,4.23,NZ,1644783412
Qingquan,30.4511,115.2559,7.86,69,100,0.22,CN,1644783448
Warri,5.5167,5.75,27.53,76,98,3.26,NG,1644783449
Stephenville,32.2207,-98.2023,18.2,19,0,1.79,US,1644783175
Makat,47.6469,53.3463,-6.18,89,6,5.65,KZ,1644783449
Brownsburg,39.8434,-86.3978,-5.73,77,100,4.63,US,1644783346
Estrela,-28.0611,-50.9383,23.2,72,75,2.94,BR,1644783449
Ayacucho,-13.1583,-74.2239,20.92,40,75,3.6,PE,1644783450
Perth,-31.9333,115.8333,26.1,58,0,6.69,AU,1644783307
Lubao,14.9167,120.55,25.64,89,100,2.36,PH,1644783450
Santa Maria,-29.6842,-53.8069,31.15,18,0,4.92,BR,1644783450
Lakes Entrance,-37.8811,147.981,18.98,68,100,1.94,AU,1644783451
Kalispell,48.1958,-114.3129,6.88,52,0,1.34,US,1644783451
Pinheiro,-2.5214,-45.0825,27.43,78,23,2.17,BR,1644783451
Cabadiangan,9.7531,122.4739,24.4,85,100,2.02,PH,1644783452
Port Blair,11.6667,92.75,23.02,78,20,1.03,IN,1644783452
Ust'-Kut,56.7938,105.7672,-33.94,100,38,1.26,RU,1644783452
Ouro Fino,-22.2831,-46.3692,24.19,79,42,1.32,BR,1644783453
Bontang,0.1333,117.5,25.18,86,94,1.6,ID,1644783453
Beroroha,-21.6667,45.1667,25.97,68,7,0.23,MG,1644783453
Chetwayi,10.5333,76.05,26.65,78,69,2.71,IN,1644783454
Darnah,32.767,22.6367,13.28,69,0,4.35,LY,1644783454
Taiyuan,37.8694,112.5603,-4.08,30,0,4.0,CN,1644783454
Merauke,-8.4667,140.3333,25.71,82,24,4.03,ID,1644783454
Hatsukaichi,34.35,132.3333,6.98,28,100,1.34,JP,1644783455
Wufeng,27.45,104.8333,0.55,94,31,0.47,CN,1644783455
Harper,4.375,-7.7169,25.83,83,54,3.41,LR,1644783455
Nador,35.174,-2.9287,12.14,76,0,1.03,MA,1644783455
Gimli,50.6336,-96.9907,-18.82,97,100,7.63,CA,1644783213
Mahrīz,31.5917,54.4318,5.28,51,0,1.46,IR,1644783456
